RespID,CostL,CostR,TimeL,TimeR,Chosen,Mode,Purpose,Gender,AgeClass,IncClass
88,23,27,32,25,1,1,1,1,3,5
88,33,27,25,28,2,1,1,1,3,5
88,14,27,29,25,1,1,1,1,3,5
88,27,54,32,25,1,1,1,1,3,5
88,46,27,29,32,2,1,1,1,3,5
88,32,27,20,25,2,1,1,1,3,5
88,23,27,25,20,1,1,1,1,3,5
88,27,22,22,25,2,1,1,1,3,5
88,43,27,19,25,2,1,1,1,3,5
808,18,24,15,13,1,1,1,1,4,4
808,24,15,12,15,2,1,1,1,4,4
808,24,12,15,18,2,1,1,1,4,4
808,24,28,19,15,1,1,1,1,4,4
808,24,26,17,15,2,1,1,1,4,4
808,24,21,15,19,2,1,1,1,4,4
808,48,24,17,22,2,1,1,1,4,4
808,24,30,15,11,1,1,1,1,4,4
808,39,24,13,15,2,1,1,1,4,4
1517,9,13,13,10,1,1,4,2,3,1
1517,13,12,8,10,2,1,4,2,3,1
1517,13,6,7,9,2,1,4,2,3,1
1517,13,10,7,10,1,1,4,2,3,1
1517,13,25,10,8,1,1,4,2,3,1
1517,17,13,8,10,2,1,4,2,3,1
1517,13,14,12,10,1,1,4,2,3,1
1517,15,13,10,11,2,1,4,2,3,1
1517,13,6,10,11,2,1,4,2,3,1
1635,80,74,23,30,2,1,4,2,3,5
1635,75,80,34,30,1,1,4,2,3,5
1635,86,80,35,42,2,1,4,2,3,5
1635,80,82,30,23,1,1,4,2,3,5
1635,109,80,30,39,2,1,4,2,3,5
1635,124,80,30,36,2,1,4,2,3,5
1635,80,76,27,30,2,1,4,2,3,5
1635,58,80,35,30,1,1,4,2,3,5
1635,80,103,30,22,1,1,4,2,3,5
1944,18,17,12,14,1,1,1,1,4,4
1944,28,18,12,14,2,1,1,1,4,4
1944,18,10,10,12,2,1,1,1,4,4
1944,18,28,13,12,1,1,1,1,4,4
1944,20,18,14,16,1,1,1,1,4,4
1944,18,19,12,10,2,1,1,1,4,4
1944,15,18,12,9,2,1,1,1,4,4
1944,9,18,15,12,1,1,1,1,4,4
1944,18,23,12,8,1,1,1,1,4,4
1972,240,248,35,29,2,1,2,1,2,7
1972,240,247,25,20,2,1,2,1,2,7
1972,240,239,21,25,1,1,2,1,2,7
